Rank,Model,Configuration,Best Feature Set,Mean CV Accuracy,Std CV Accuracy,Mean CV F1,Std CV F1,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1,Test Cohen Kappa,CV Time (s),Final Training + Prediction Time (s)
1,Random Forest,RF_200_trees,Raw bands + indices,0.9969170990049839,0.0008406801866889955,0.9969179266687688,0.0008414451586751805,0.9971973094170403,0.9971985521453888,0.9971973094170403,0.997197305894581,0.9962630792227205,20.528148900019005,1.2299132000189275
2,MLP,MLP_4,Raw bands + indices,0.9949549406307723,0.0010306533956187176,0.9949565032269827,0.0010305023674926142,0.9708520179372198,0.9709208367997483,0.9708520179372196,0.9708820984255864,0.9611360239162929,11.44648650000454,2.59792520001065
