Model,Raw Bands Mean CV F1,Raw Bands + Indices Mean CV F1,F1 Difference
Random Forest,0.9969177688166614,0.9969179266687688,1.5785210738528122e-07
MLP,0.9913094189806074,0.9949565032269827,0.003647084246375276
